won,drawn,lost,GF,GA,GD,points,WF,DF,LF,winner
5,7,8,31,38,-7,22,0,2,3,-1
3,10,7,19,32,-13,19,1,3,1,-1
5,3,12,22,35,-13,18,1,1,3,-1
3,6,11,20,31,-11,15,0,2,3,-1
2,9,9,17,36,-19,15,1,0,4,-1
2,8,10,18,32,-14,14,0,2,3,-1
1,8,11,16,42,-26,11,0,1,4,-1
17,1,1,41,9,32,52,5,0,0,1
12,5,2,36,16,20,41,3,2,0,-1
11,4,2,25,9,16,37,5,0,0,-1
9,7,3,27,18,9,34,3,1,1,-1
11,1,7,25,21,4,34,3,0,2,-1
10,2,6,27,15,12,32,2,0,3,-1
9,4,4,22,14,8,31,2,2,1,-1
8,3,8,27,22,5,27,2,0,3,-1
7,5,7,26,25,1,26,1,1,3,-1
7,4,7,18,19,-1,25,2,1,2,-1
7,3,8,21,24,-3,24,2,0,3,-1
7,1,9,21,27,-6,22,1,0,4,-1
5,6,8,23,29,-6,21,1,3,1,-1
5,5,9,23,28,-5,20,1,2,2,-1
5,5,8,23,28,-5,20,0,2,3,-1
5,4,10,19,28,-9,19,2,1,2,-1
5,2,12,10,30,-20,17,0,1,4,-1
3,5,11,14,31,-17,14,1,1,3,-1
3,4,11,13,27,-14,13,1,1,3,-1
1,3,14,14,35,-21,6,0,1,4,-1
16,2,2,44,11,33,50,4,0,1,1
14,4,2,35,15,20,46,3,2,0,-1
10,6,4,37,18,19,36,3,2,0,-1
11,3,6,24,16,8,36,4,0,1,-1
10,5,5,30,18,12,35,3,2,0,-1
10,4,6,28,16,12,34,4,0,1,-1
9,4,7,25,26,-1,31,4,0,1,-1
7,7,6,24,20,4,28,2,1,2,-1
8,3,9,22,27,-5,27,0,2,3,-1
5,10,5,22,23,-1,25,0,2,3,-1
7,4,9,21,23,-2,25,3,0,2,-1
6,7,7,20,30,-10,25,1,2,2,-1
6,5,9,16,24,-8,23,1,1,3,-1
6,4,10,23,29,-6,22,0,1,4,-1
6,4,9,19,28,-9,22,2,0,3,-1
5,6,9,17,24,-7,21,1,2,2,-1
5,5,10,15,26,-11,20,2,1,2,-1
5,3,12,12,26,-14,18,1,1,3,-1
3,4,13,15,35,-20,13,1,1,3,-1
1,8,10,12,26,-14,11,0,2,3,-1
14,5,1,40,16,24,47,3,1,1,1
14,3,3,37,11,26,45,4,0,1,-1
12,5,3,31,15,16,41,3,1,1,-1
10,7,2,33,12,21,37,2,1,2,-1
10,6,4,27,22,5,36,1,3,1,-1
10,3,7,35,22,13,33,3,0,2,-1
9,6,5,35,26,9,33,1,3,1,-1
8,7,5,29,20,9,31,1,1,3,-1
8,6,6,27,28,-1,30,1,1,3,-1
8,5,6,25,17,8,29,3,1,1,-1
7,5,8,27,31,-4,26,2,1,2,-1
6,6,8,41,36,5,24,4,0,1,-1
6,4,10,29,42,-13,22,2,2,1,-1
5,5,10,18,33,-15,20,3,0,2,-1
5,4,11,22,31,-9,19,1,2,2,-1
4,5,11,22,32,-10,17,2,0,3,-1
4,5,11,20,39,-19,17,1,1,3,-1
4,4,12,20,36,-16,16,2,1,2,-1
2,9,9,21,35,-14,15,0,2,3,-1
1,4,15,10,45,-35,7,0,1,4,-1
13,6,1,35,13,22,45,3,2,0,-1
12,6,2,40,9,31,42,2,3,0,-1
11,5,2,29,10,19,38,4,1,0,1
11,5,4,33,22,11,38,4,1,0,-1
10,5,5,33,23,10,35,2,3,0,-1
9,5,6,27,25,2,32,3,1,1,-1
8,4,7,24,21,3,28,4,0,1,-1
7,6,7,28,37,-9,27,1,1,3,-1
6,8,5,18,14,4,26,1,4,0,-1
7,4,9,24,28,-4,25,2,1,2,-1
7,2,11,22,28,-6,23,1,0,4,-1
6,5,9,21,33,-12,23,0,1,4,-1
6,4,10,38,30,8,22,1,2,2,-1
5,7,8,26,32,-6,22,2,1,2,-1
6,4,10,21,29,-8,22,2,1,2,-1
5,5,10,20,25,-5,20,1,2,2,-1
5,5,10,17,29,-12,20,0,1,4,-1
5,5,10,18,33,-15,20,0,2,3,-1
4,6,10,22,36,-14,18,1,2,2,-1
5,3,12,16,35,-19,18,2,1,2,-1
14,3,3,45,16,29,45,2,3,0,1
14,2,5,46,19,27,44,3,1,1,-1
13,3,4,53,23,30,42,3,2,0,-1
10,8,2,42,28,14,38,4,0,1,-1
11,4,5,42,22,20,37,3,1,1,-1
10,5,5,29,18,11,35,3,0,2,-1
10,3,7,37,25,12,33,3,0,2,-1
9,6,6,21,19,2,33,2,3,0,-1
7,6,7,26,22,4,27,1,2,2,-1
6,6,8,18,25,-7,24,1,1,3,-1
6,5,9,28,31,-3,23,0,3,2,-1
5,8,7,28,34,-6,23,1,4,0,-1
5,6,10,21,39,-18,21,0,2,3,-1
5,5,10,22,40,-18,20,0,3,2,-1
5,4,11,17,36,-19,19,2,0,3,-1
5,4,10,21,44,-23,19,0,2,3,-1
4,6,10,28,37,-9,18,1,1,3,-1
4,6,8,26,36,-10,18,1,3,1,-1
4,6,10,20,42,-22,18,0,2,3,-1
4,2,14,18,32,-14,14,1,1,3,-1
11,8,0,41,18,23,41,4,1,0,1
12,5,4,33,16,17,41,4,0,1,-1
12,3,5,42,22,20,39,3,1,1,-1
10,6,4,30,23,7,36,3,2,0,-1
10,5,5,36,18,18,35,1,3,1,-1
7,9,5,24,22,2,30,2,1,2,-1
7,8,6,33,28,5,29,2,0,3,-1
8,3,9,25,24,1,27,2,1,2,-1
7,4,8,23,24,-1,25,2,0,3,-1
7,4,9,29,31,-2,25,2,0,3,-1
7,4,7,26,30,-4,25,3,1,1,-1
7,4,10,26,34,-8,25,1,1,3,-1
4,10,6,21,24,-3,22,1,3,1,-1
6,4,10,26,36,-10,22,1,0,4,-1
5,6,9,23,37,-14,21,1,1,3,-1
4,8,9,22,33,-11,20,2,2,1,-1
4,8,8,17,32,-15,20,1,3,1,-1
3,10,7,19,24,-5,19,1,1,3,-1
3,10,6,18,24,-6,19,0,3,2,-1
5,3,12,20,34,-14,18,2,0,3,-1
15,3,2,56,16,40,48,3,1,1,1
14,3,3,49,20,29,45,3,0,2,-1
14,3,3,38,20,18,45,3,2,0,-1
11,4,5,39,25,14,37,1,3,1,-1
11,3,6,36,28,8,36,2,1,2,-1
9,7,4,24,18,6,34,2,2,1,-1
9,6,5,29,25,4,33,2,1,2,-1
8,5,7,22,31,-9,29,2,2,1,-1
6,7,7,30,35,-5,25,1,3,1,-1
6,6,8,27,23,4,24,3,1,1,-1
7,3,10,20,24,-4,24,2,1,2,-1
5,8,7,20,23,-3,23,1,3,1,-1
5,8,7,22,26,-4,23,1,1,3,-1
5,8,7,22,26,-4,23,2,2,1,-1
6,4,10,19,28,-9,22,2,1,2,-1
4,5,11,22,36,-14,17,0,3,2,-1
4,5,11,19,35,-16,17,0,1,4,-1
5,1,14,25,43,-18,16,2,1,2,-1
3,6,11,18,41,-23,15,0,3,2,-1
3,5,12,29,43,-14,14,1,1,3,-1
16,1,3,50,28,22,49,4,1,0,1
12,6,2,38,19,19,42,3,0,2,-1
11,5,3,39,18,21,38,4,0,1,-1
11,3,6,36,26,10,36,3,1,1,-1
9,6,4,39,21,18,33,4,0,1,-1
8,9,3,33,25,8,33,3,1,1,-1
10,3,7,28,25,3,33,2,1,2,-1
6,11,3,21,17,4,29,1,4,0,-1
7,7,6,31,26,5,28,3,0,2,-1
7,7,6,29,24,5,28,1,2,2,-1
6,7,7,23,32,-9,25,2,0,3,-1
6,5,8,22,23,-1,23,1,1,3,-1
5,7,8,21,26,-5,22,3,0,2,-1
5,6,9,30,36,-6,21,1,1,3,-1
5,5,10,26,37,-11,20,1,0,4,-1
5,3,12,22,35,-13,18,1,1,3,-1
4,6,10,15,39,-24,18,1,1,3,-1
4,5,10,26,37,-11,17,1,2,2,-1
2,7,11,22,37,-15,13,1,1,3,-1
1,7,12,16,36,-20,10,1,1,3,-1
14,3,3,39,18,21,45,3,1,1,-1
14,2,4,57,23,34,44,5,0,0,1
13,4,3,38,19,19,43,4,1,0,-1
12,3,5,46,23,23,39,3,0,2,-1
10,8,2,32,19,13,38,3,1,1,-1
11,4,5,24,25,-1,37,3,1,1,-1
10,4,6,33,24,9,34,4,0,1,-1
10,3,7,29,25,4,33,2,1,2,-1
7,6,7,26,23,3,27,1,1,3,-1
6,5,9,22,25,-3,23,1,2,2,-1
6,5,9,19,25,-6,23,1,1,3,-1
5,7,8,19,30,-11,22,1,2,2,-1
5,6,9,26,28,-2,21,0,2,3,-1
4,9,7,23,27,-4,21,1,3,1,-1
